Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
JSON,create,10,5,0.50,0,5,5
JSON,loadAll,10,6,0.60,0,3,3
JSON,loadByKey,10,0,0.00,0,0,0
JSON,delete,10,0,0.00,0,0,0
JSON,create,100,0,0.00,0,0,0
JSON,loadAll,100,28,2.80,2,9,9
JSON,loadByKey,100,0,0.00,0,0,0
JSON,delete,100,0,0.00,0,0,0
JSON,create,1000,1,0.00,0,0,0
JSON,loadAll,1000,152,15.20,14,17,17
JSON,loadByKey,1000,0,0.00,0,0,0
JSON,delete,1000,0,0.00,0,0,0
JSON,create,2000,0,0.00,0,0,0
JSON,loadAll,2000,245,24.50,25,27,27
JSON,loadByKey,2000,0,0.00,0,0,0
JSON,delete,2000,0,0.00,0,0,0
JSON,create,4000,0,0.00,0,0,0
JSON,loadAll,4000,505,50.50,49,59,59
JSON,loadByKey,4000,0,0.00,0,0,0
JSON,delete,4000,0,0.00,0,0,0
JSON,create,10000,18,0.00,0,0,0
JSON,loadAll,10000,1328,132.80,132,136,136
JSON,loadByKey,10000,0,0.00,0,0,0
JSON,delete,10000,0,0.00,0,0,0
JSON,create,100000,1045,0.01,0,0,0
JSON,loadAll,100000,42305,4230.50,1969,8012,8012
JSON,loadByKey,100000,1,0.00,0,0,0
JSON,delete,100000,152,0.02,0,0,0
DUCKDB,create,10,983,98.30,1,974,974
DUCKDB,loadAll,10,1,0.10,0,1,1
DUCKDB,loadByKey,10,0,0.00,0,0,0
DUCKDB,delete,10,0,0.00,0,0,0
DUCKDB,create,100,102,1.02,1,1,1
DUCKDB,loadAll,100,0,0.00,0,0,0
DUCKDB,loadByKey,100,0,0.00,0,0,0
DUCKDB,delete,100,0,0.00,0,0,0
DUCKDB,create,1000,1021,1.02,1,1,1
DUCKDB,loadAll,1000,22,2.20,2,3,3
DUCKDB,loadByKey,1000,0,0.00,0,0,0
DUCKDB,delete,1000,0,0.00,0,0,0
DUCKDB,create,2000,2082,1.04,1,1,2
DUCKDB,loadAll,2000,69,6.90,7,7,7
DUCKDB,loadByKey,2000,0,0.00,0,0,0
DUCKDB,delete,2000,17,0.09,0,0,3
DUCKDB,create,4000,4168,1.04,1,1,2
DUCKDB,loadAll,4000,142,14.20,14,15,15
DUCKDB,loadByKey,4000,0,0.00,0,0,0
DUCKDB,delete,4000,10,0.03,0,0,0
DUCKDB,create,10000,10423,1.04,1,1,2
DUCKDB,loadAll,10000,352,35.20,35,37,37
DUCKDB,loadByKey,10000,0,0.00,0,0,0
DUCKDB,delete,10000,1,0.00,0,0,0
DUCKDB,create,100000,104793,1.05,1,1,2
DUCKDB,loadAll,100000,2745,274.50,274,279,279
DUCKDB,loadByKey,100000,5,0.00,0,0,0
DUCKDB,delete,100000,128,0.01,0,0,0
PARQUET,create,10,578,57.80,11,449,449
PARQUET,loadAll,10,39,3.90,4,4,4
PARQUET,loadByKey,10,37,3.70,4,4,4
PARQUET,delete,10,79,7.90,8,8,8
PARQUET,create,100,669,6.69,7,8,13
PARQUET,loadAll,100,26,2.60,3,3,3
PARQUET,loadByKey,100,32,3.20,3,4,4
PARQUET,delete,100,62,6.20,6,7,7
PARQUET,create,1000,5930,5.93,6,7,7
PARQUET,loadAll,1000,20,2.00,2,2,2
PARQUET,loadByKey,1000,230,2.30,2,3,3
PARQUET,delete,1000,623,6.23,6,7,7
PARQUET,create,2000,12270,6.14,6,7,8
PARQUET,loadAll,2000,30,3.00,3,3,3
PARQUET,loadByKey,2000,603,3.02,3,3,4
PARQUET,delete,2000,1452,7.26,7,8,8
PARQUET,create,4000,29229,7.31,7,10,10
PARQUET,loadAll,4000,31,3.10,3,4,4
PARQUET,loadByKey,4000,1344,3.36,3,4,4
PARQUET,delete,4000,3824,9.56,10,10,11
PARQUET,create,10000,111537,11.15,11,17,18
PARQUET,loadAll,10000,60,6.00,6,7,7
PARQUET,loadByKey,10000,5985,5.99,6,6,7
PARQUET,delete,10000,16827,16.83,17,18,19
REDIS,create,10,5,0.50,0,5,5
REDIS,loadAll,10,26,2.60,2,7,7
REDIS,loadByKey,10,0,0.00,0,0,0
REDIS,delete,10,0,0.00,0,0,0
REDIS,create,100,0,0.00,0,0,0
REDIS,loadAll,100,134,13.40,13,18,18
REDIS,loadByKey,100,0,0.00,0,0,0
REDIS,delete,100,0,0.00,0,0,0
REDIS,create,1000,1,0.00,0,0,0
REDIS,loadAll,1000,1119,111.90,109,121,121
REDIS,loadByKey,1000,0,0.00,0,0,0
REDIS,delete,1000,0,0.00,0,0,0
REDIS,create,2000,0,0.00,0,0,0
REDIS,loadAll,2000,2227,222.70,227,234,234
REDIS,loadByKey,2000,0,0.00,0,0,0
REDIS,delete,2000,0,0.00,0,0,0
REDIS,create,4000,0,0.00,0,0,0
REDIS,loadAll,4000,4228,422.80,407,465,465
REDIS,loadByKey,4000,0,0.00,0,0,0
REDIS,delete,4000,0,0.00,0,0,0
REDIS,create,10000,0,0.00,0,0,0
REDIS,loadAll,10000,11378,1137.80,1143,1161,1161
REDIS,loadByKey,10000,0,0.00,0,0,0
REDIS,delete,10000,0,0.00,0,0,0
REDIS,create,100000,7,0.00,0,0,0
REDIS,loadAll,100000,111026,11102.60,11111,11408,11408
REDIS,loadByKey,100000,0,0.00,0,0,0
REDIS,delete,100000,0,0.00,0,0,0
