Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
DUCKDB,create,10,983,98.30,1,974,974
DUCKDB,loadAll,10,1,0.10,0,1,1
DUCKDB,loadByKey,10,0,0.00,0,0,0
DUCKDB,delete,10,0,0.00,0,0,0
DUCKDB,create,100,102,1.02,1,1,1
DUCKDB,loadAll,100,0,0.00,0,0,0
DUCKDB,loadByKey,100,0,0.00,0,0,0
DUCKDB,delete,100,0,0.00,0,0,0
DUCKDB,create,1000,1021,1.02,1,1,1
DUCKDB,loadAll,1000,22,2.20,2,3,3
DUCKDB,loadByKey,1000,0,0.00,0,0,0
DUCKDB,delete,1000,0,0.00,0,0,0
DUCKDB,create,2000,2082,1.04,1,1,2
DUCKDB,loadAll,2000,69,6.90,7,7,7
DUCKDB,loadByKey,2000,0,0.00,0,0,0
DUCKDB,delete,2000,17,0.09,0,0,3
DUCKDB,create,4000,4168,1.04,1,1,2
DUCKDB,loadAll,4000,142,14.20,14,15,15
DUCKDB,loadByKey,4000,0,0.00,0,0,0
DUCKDB,delete,4000,10,0.03,0,0,0
DUCKDB,create,10000,10423,1.04,1,1,2
DUCKDB,loadAll,10000,352,35.20,35,37,37
DUCKDB,loadByKey,10000,0,0.00,0,0,0
DUCKDB,delete,10000,1,0.00,0,0,0
DUCKDB,create,100000,104793,1.05,1,1,2
DUCKDB,loadAll,100000,2745,274.50,274,279,279
DUCKDB,loadByKey,100000,5,0.00,0,0,0
DUCKDB,delete,100000,128,0.01,0,0,0
