Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
JSON,create,10,5,0.50,0,5,5
JSON,loadAll,10,6,0.60,0,3,3
JSON,loadByKey,10,0,0.00,0,0,0
JSON,delete,10,0,0.00,0,0,0
JSON,create,100,0,0.00,0,0,0
JSON,loadAll,100,28,2.80,2,9,9
JSON,loadByKey,100,0,0.00,0,0,0
JSON,delete,100,0,0.00,0,0,0
JSON,create,1000,1,0.00,0,0,0
JSON,loadAll,1000,152,15.20,14,17,17
JSON,loadByKey,1000,0,0.00,0,0,0
JSON,delete,1000,0,0.00,0,0,0
JSON,create,2000,0,0.00,0,0,0
JSON,loadAll,2000,245,24.50,25,27,27
JSON,loadByKey,2000,0,0.00,0,0,0
JSON,delete,2000,0,0.00,0,0,0
JSON,create,4000,0,0.00,0,0,0
JSON,loadAll,4000,505,50.50,49,59,59
JSON,loadByKey,4000,0,0.00,0,0,0
JSON,delete,4000,0,0.00,0,0,0
JSON,create,10000,18,0.00,0,0,0
JSON,loadAll,10000,1328,132.80,132,136,136
JSON,loadByKey,10000,0,0.00,0,0,0
JSON,delete,10000,0,0.00,0,0,0
JSON,create,100000,1045,0.01,0,0,0
JSON,loadAll,100000,42305,4230.50,1969,8012,8012
JSON,loadByKey,100000,1,0.00,0,0,0
JSON,delete,100000,152,0.02,0,0,0
