Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
DUCKDB,create,10,517,51.70,8,444,444
DUCKDB,loadAll,10,3,0.30,0,2,2
DUCKDB,loadByKey,10,8,0.80,0,7,7
DUCKDB,delete,10,16,1.60,1,6,6
DUCKDB,create,100,841,8.41,7,17,24
DUCKDB,loadAll,100,32,3.20,2,7,7
DUCKDB,loadByKey,100,7,0.70,0,2,2
DUCKDB,delete,100,25,2.50,2,5,5
DUCKDB,create,1000,5678,5.68,5,11,18
DUCKDB,loadAll,1000,46,4.60,3,15,15
DUCKDB,loadByKey,1000,13,0.13,0,0,3
DUCKDB,delete,1000,93,0.93,1,3,4
DUCKDB,create,2000,8253,4.13,4,8,11
DUCKDB,loadAll,2000,93,9.30,9,13,13
DUCKDB,loadByKey,2000,23,0.12,0,0,3
DUCKDB,delete,2000,281,1.41,1,4,5
DUCKDB,create,4000,12011,3.00,2,6,8
DUCKDB,loadAll,4000,195,19.50,17,32,32
DUCKDB,loadByKey,4000,2,0.01,0,0,0
DUCKDB,delete,4000,90,0.23,0,1,1
DUCKDB,create,10000,22188,2.22,2,4,5
DUCKDB,loadAll,10000,476,47.60,43,59,59
DUCKDB,loadByKey,10000,1,0.00,0,0,0
DUCKDB,delete,10000,37,0.04,0,0,1
DUCKDB,create,50000,116263,2.33,2,4,5
DUCKDB,loadAll,50000,2037,203.70,196,248,248
DUCKDB,loadByKey,50000,22,0.00,0,0,0
DUCKDB,delete,50000,190,0.04,0,0,1
