Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
JSON,create,10,9,0.90,0,9,9
JSON,loadAll,10,29,2.90,2,11,11
JSON,loadByKey,10,0,0.00,0,0,0
JSON,delete,10,0,0.00,0,0,0
JSON,create,100,7,0.07,0,0,2
JSON,loadAll,100,69,6.90,4,21,21
JSON,loadByKey,100,2,0.20,0,2,2
JSON,delete,100,0,0.00,0,0,0
JSON,create,1000,33,0.03,0,0,1
JSON,loadAll,1000,219,21.90,19,38,38
JSON,loadByKey,1000,0,0.00,0,0,0
JSON,delete,1000,0,0.00,0,0,0
JSON,create,2000,15,0.01,0,0,0
JSON,loadAll,2000,212,21.20,19,37,37
JSON,loadByKey,2000,0,0.00,0,0,0
JSON,delete,2000,0,0.00,0,0,0
JSON,create,4000,27,0.01,0,0,0
JSON,loadAll,4000,451,45.10,37,94,94
JSON,loadByKey,4000,0,0.00,0,0,0
JSON,delete,4000,0,0.00,0,0,0
JSON,create,10000,4,0.00,0,0,0
JSON,loadAll,10000,1016,101.60,99,116,116
JSON,loadByKey,10000,1,0.00,0,0,0
JSON,delete,10000,0,0.00,0,0,0
JSON,create,50000,129,0.00,0,0,0
JSON,loadAll,50000,24254,2425.40,434,6457,6457
JSON,loadByKey,50000,5,0.00,0,0,0
JSON,delete,50000,0,0.00,0,0,0
