Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
MONGO,create,10,143,14.30,3,120,120
MONGO,loadAll,10,45,4.50,2,25,25
MONGO,loadByKey,10,26,2.60,2,5,5
MONGO,delete,10,33,3.30,2,10,10
MONGO,create,100,173,1.73,1,4,9
MONGO,loadAll,100,11,1.10,1,2,2
MONGO,loadByKey,100,7,0.70,0,2,2
MONGO,delete,100,0,0.00,0,0,0
MONGO,create,1000,280,0.28,0,2,3
MONGO,loadAll,1000,76,7.60,7,15,15
MONGO,loadByKey,1000,13,0.13,0,1,1
MONGO,delete,1000,3,0.03,0,0,1
MONGO,create,2000,187,0.09,0,1,2
MONGO,loadAll,2000,145,14.50,12,44,44
MONGO,loadByKey,2000,17,0.09,0,0,1
MONGO,delete,2000,3,0.02,0,0,0
MONGO,create,4000,150,0.04,0,0,1
MONGO,loadAll,4000,147,14.70,12,36,36
MONGO,loadByKey,4000,6,0.02,0,0,1
MONGO,delete,4000,1,0.00,0,0,0
MONGO,create,10000,136,0.01,0,0,0
MONGO,loadAll,10000,376,37.60,29,79,79
MONGO,loadByKey,10000,27,0.03,0,0,1
MONGO,delete,10000,6,0.01,0,0,0
MONGO,create,50000,302,0.01,0,0,0
MONGO,loadAll,50000,1962,196.20,197,313,313
MONGO,loadByKey,50000,54,0.01,0,0,0
MONGO,delete,50000,22,0.00,0,0,0
