Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
PARQUET,create,10,578,57.80,11,449,449
PARQUET,loadAll,10,39,3.90,4,4,4
PARQUET,loadByKey,10,37,3.70,4,4,4
PARQUET,delete,10,79,7.90,8,8,8
PARQUET,create,100,669,6.69,7,8,13
PARQUET,loadAll,100,26,2.60,3,3,3
PARQUET,loadByKey,100,32,3.20,3,4,4
PARQUET,delete,100,62,6.20,6,7,7
PARQUET,create,1000,5930,5.93,6,7,7
PARQUET,loadAll,1000,20,2.00,2,2,2
PARQUET,loadByKey,1000,230,2.30,2,3,3
PARQUET,delete,1000,623,6.23,6,7,7
PARQUET,create,2000,12270,6.14,6,7,8
PARQUET,loadAll,2000,30,3.00,3,3,3
PARQUET,loadByKey,2000,603,3.02,3,3,4
PARQUET,delete,2000,1452,7.26,7,8,8
PARQUET,create,4000,29229,7.31,7,10,10
PARQUET,loadAll,4000,31,3.10,3,4,4
PARQUET,loadByKey,4000,1344,3.36,3,4,4
PARQUET,delete,4000,3824,9.56,10,10,11
PARQUET,create,10000,111537,11.15,11,17,18
PARQUET,loadAll,10000,60,6.00,6,7,7
PARQUET,loadByKey,10000,5985,5.99,6,6,7
PARQUET,delete,10000,16827,16.83,17,18,19
